,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
154,Wed 31st Aug 22,,de_mirage,15:15,,,21,23,5,-2,67,82,0,0,0,0,0,0,1,1,1.03,View Match
155,Wed 31st Aug 22,,de_mirage,4:16,,,13,17,1,-4,62,71,0,0,0,0,0,0,0,1,0.77,View Match
156,Wed 31st Aug 22,,de_overpass,16:8,,,27,15,3,12,33,122,0,0,0,1,0,0,0,2,1.66,View Match
157,Wed 31st Aug 22,,de_dust2,12:16,,,22,22,1,0,36,90,0,0,0,1,1,0,0,1,1.22,View Match
158,Wed 31st Aug 22,,de_inferno,15:15,,,29,23,3,6,24,91,0,0,0,1,1,0,1,4,1.33,View Match
159,Wed 31st Aug 22,,de_inferno,10:16,,,23,19,3,4,26,92,0,0,0,0,0,0,0,2,1.23,View Match
160,Wed 31st Aug 22,,de_mirage,16:11,,,19,18,7,1,32,92,0,0,0,0,1,0,0,0,1.24,View Match
161,Wed 31st Aug 22,,de_mirage,16:10,,,27,14,5,13,48,116,0,0,0,0,0,0,0,2,1.66,View Match
162,Wed 31st Aug 22,,de_dust2,8:16,,,24,19,2,5,67,113,0,1,0,0,1,0,3,0,1.31,View Match
163,Wed 31st Aug 22,,de_dust2,16:5,,,18,9,3,9,44,70,0,0,0,1,0,0,0,1,1.48,View Match
164,Tue 30th Aug 22,,de_mirage,6:9,,,10,10,5,0,40,86,0,0,0,1,0,0,0,0,1.13,View Match
165,Tue 30th Aug 22,,de_cache,9:7,,,11,12,2,-1,36,78,0,0,0,0,2,0,0,0,0.98,View Match
166,Tue 30th Aug 22,,de_dust2,7:9,,,9,13,4,-4,56,90,0,0,0,0,0,0,0,1,0.84,View Match
167,Tue 30th Aug 22,,de_overpass,0:9,,,4,9,1,-5,75,53,0,0,0,0,0,0,0,0,0.5,View Match
168,Mon 29th Aug 22,,de_inferno,13:16,,,18,24,4,-6,39,79,0,0,0,0,0,0,0,0,0.88,View Match
169,Mon 29th Aug 22,,de_mirage,16:14,,,23,22,6,1,43,78,0,0,0,1,1,0,0,1,1.12,View Match
170,Mon 29th Aug 22,,de_dust2,12:16,,,23,25,5,-2,35,91,0,0,0,0,0,0,1,1,1.05,View Match
171,Mon 29th Aug 22,,de_inferno,11:16,,,16,22,5,-6,63,64,0,0,0,0,0,0,0,0,0.88,View Match
172,Sun 28th Aug 22,,de_inferno,16:12,,,26,20,5,6,27,99,0,0,0,0,0,0,0,1,1.37,View Match
173,Sun 28th Aug 22,,de_mirage,16:7,,,21,18,4,3,33,96,0,0,0,0,0,0,0,3,1.24,View Match
174,Sun 28th Aug 22,,de_dust2,16:13,,,28,19,4,9,21,88,0,0,0,1,5,0,0,2,1.4,View Match
175,Sat 27th Aug 22,,de_dust2,15:15,,,13,23,5,-10,46,54,0,0,0,0,0,0,0,0,0.66,View Match
176,Sat 27th Aug 22,,de_inferno,16:14,,,22,20,4,2,50,85,0,0,1,1,1,0,0,2,1.14,View Match
177,Sat 27th Aug 22,,de_mirage,16:9,,,19,18,4,1,47,86,0,0,0,0,1,0,1,1,1.13,View Match
178,Sat 27th Aug 22,,de_mirage,11:16,,,20,22,6,-2,35,88,0,0,0,0,0,0,1,0,1.15,View Match
179,Thu 4th Aug 22,,de_inferno,5:16,,,17,17,3,0,24,91,0,0,0,0,1,0,0,3,1.06,View Match
180,Thu 4th Aug 22,,de_inferno,5:16,,,16,18,2,-2,44,85,0,0,0,0,0,0,0,1,1.04,View Match
181,Thu 4th Aug 22,,de_cache,15:15,,,26,20,4,6,42,90,0,0,0,1,0,0,0,1,1.3,View Match
182,Wed 3rd Aug 22,,de_inferno,5:16,,,15,17,3,-2,27,76,0,0,0,0,1,0,0,1,1.03,View Match
183,Wed 3rd Aug 22,,de_inferno,16:12,,,19,21,11,-2,32,88,0,0,0,0,0,0,0,1,1.12,View Match
184,Tue 2nd Aug 22,,de_mirage,6:9,,,13,12,4,1,23,122,0,0,0,0,0,0,0,1,1.35,View Match
185,Sun 31st Jul 22,,de_dust2,16:10,,,27,16,7,11,30,104,0,0,0,0,1,0,0,2,1.62,View Match
186,Fri 29th Jul 22,,de_dust2,16:6,,,13,11,4,2,38,61,0,0,0,0,0,0,0,1,1.19,View Match
187,Fri 29th Jul 22,,de_inferno,16:11,,,19,14,3,5,37,74,0,1,0,0,0,0,1,0,1.16,View Match
188,Fri 29th Jul 22,,de_mirage,10:16,,,20,20,8,0,40,89,0,0,1,0,0,0,1,1,1.2,View Match
189,Thu 28th Jul 22,,de_inferno,15:15,,,9,26,6,-17,33,46,0,0,0,0,0,0,0,0,0.44,View Match
190,Thu 28th Jul 22,,de_mirage,11:16,,,16,20,6,-4,56,87,0,0,0,0,0,0,0,2,0.95,View Match
191,Thu 28th Jul 22,,de_mirage,9:16,,,25,19,4,6,28,107,0,0,0,0,0,0,0,2,1.39,View Match
192,Wed 27th Jul 22,,de_dust2,16:13,,,21,20,12,1,38,99,0,0,0,0,0,0,0,3,1.29,View Match
193,Wed 27th Jul 22,,de_mirage,7:16,,,21,18,1,3,43,90,0,0,0,0,1,0,0,2,1.18,View Match
194,Tue 26th Jul 22,,de_mirage,6:16,,,14,18,7,-4,43,79,0,0,0,0,1,0,0,1,0.93,View Match
195,Tue 26th Jul 22,,de_overpass,16:5,,,15,17,2,-2,53,81,0,0,1,0,0,0,0,1,1.05,View Match
